"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"negative",15,"delayed","new car",1403,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",4,"vehicle",28,"no debt","rented",1,"skilled",1,"no","yes","good"
"negative",24,"delayed","radio/tv",1282,"less than 100","less than 4 years",4,"female","unspecified","individual",2,"vehicle",32,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"no checking",24,"dully paid","radio/tv",2424,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"life insurance",53,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",30,"duly paying","business",8072,"between 100 and 499","less than 1 year",2,"male","single","individual",3,"vehicle",25,"bank debt","owned",3,"skilled",1,"no","yes","good"
"less than 200",24,"delayed","used car",12579,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",2,"no collateral",44,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"no checking",24,"delayed","radio/tv",3430,"more than or = 1000","more than 7 years",3,"male","single","individual",2,"vehicle",31,"no debt","owned",1,"skilled",2,"yes","yes","good"
"no checking",9,"dully paid","new car",2134,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"vehicle",48,"no debt","owned",3,"skilled",1,"yes","yes","good"
"negative",6,"delayed","radio/tv",2647,"more than or = 1000","less than 4 years",2,"male","single","individual",3,"real estate",44,"no debt","rented",1,"skilled",2,"no","yes","good"
"negative",10,"dully paid","new car",2241,"between 500 and 999","less than 1 year",1,"male","single","individual",3,"real estate",48,"no debt","rented",2,"unskilled res",2,"no","no","good"
"less than 200",12,"dully paid","used car",1804,"less than 100","less than 1 year",3,"male","single","individual",4,"life insurance",44,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",10,"dully paid","furniture/equipment",2069,"between 100 and 499","less than 4 years",2,"male","married/widowed","individual",1,"vehicle",26,"no debt","owned",2,"skilled",1,"no","no","good"
"negative",6,"delayed","furniture/equipment",1374,"between 500 and 999","less than 4 years",1,"male","single","individual",2,"real estate",36,"bank debt","owned",1,"unskilled res",1,"yes","yes","good"
"no checking",6,"duly paying","radio/tv",426,"between 500 and 999","more than 7 years",4,"male","married/widowed","individual",4,"vehicle",39,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"more than or = 200",12,"no credits","radio/tv",409,"no savingss","less than 4 years",3,"female","unspecified","individual",3,"real estate",42,"no debt","rented",2,"skilled",1,"no","yes","good"
"less than 200",7,"delayed","radio/tv",2415,"between 500 and 999","less than 4 years",3,"male","single","guaranteed",2,"real estate",34,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",60,"critical","business",6836,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"no collateral",63,"no debt","owned",2,"skilled",1,"yes","yes","bad"
"less than 200",18,"delayed","business",1913,"no savingss","less than 1 year",3,"male","married/widowed","individual",3,"real estate",36,"bank debt","owned",1,"skilled",1,"yes","yes","good"
"negative",24,"delayed","furniture/equipment",4020,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",27,"purchase debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",18,"delayed","new car",5866,"less than 100","less than 4 years",2,"male","single","individual",2,"vehicle",30,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",12,"dully paid","business",1264,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",57,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"more than or = 200",12,"delayed","furniture/equipment",1474,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"life insurance",33,"bank debt","owned",1,"highly qualified",1,"yes","yes","good"
"less than 200",45,"dully paid","radio/tv",4746,"between 500 and 999","less than 1 year",4,"male","single","individual",2,"life insurance",25,"no debt","owned",2,"unskilled res",1,"no","yes","bad"
"no checking",48,"dully paid","education",6110,"between 500 and 999","less than 4 years",1,"male","single","individual",3,"no collateral",31,"bank debt","free use",1,"skilled",1,"yes","yes","good"
"more than or = 200",18,"delayed","radio/tv",2100,"between 500 and 999","less than 4 years",4,"male","single","co-aplicant",2,"real estate",37,"purchase debt","owned",1,"skilled",1,"no","yes","bad"
"more than or = 200",10,"delayed","domestic appliance",1225,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",37,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",9,"delayed","radio/tv",458,"between 500 and 999","less than 4 years",4,"male","single","individual",3,"real estate",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",30,"delayed","radio/tv",2333,"more than or = 1000","more than 7 years",4,"male","single","individual",2,"vehicle",30,"bank debt","owned",1,"highly qualified",1,"no","yes","good"
"less than 200",12,"delayed","radio/tv",1158,"more than or = 1000","less than 4 years",3,"male","divorced","individual",1,"vehicle",26,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",18,"critical","repairs",6204,"between 500 and 999","less than 4 years",2,"male","single","individual",4,"real estate",44,"no debt","owned",1,"unskilled res",2,"yes","yes","good"
"negative",30,"dully paid","used car",6187,"less than 100","less than 7 years",1,"male","married/widowed","individual",4,"vehicle",24,"no debt","rented",2,"skilled",1,"no","yes","good"
"negative",48,"dully paid","used car",6143,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",4,"no collateral",58,"purchase debt","free use",2,"unskilled res",1,"no","yes","bad"
"no checking",11,"dully paid","new car",1393,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"vehicle",35,"no debt","owned",2,"highly qualified",1,"no","yes","good"
"no checking",36,"delayed","radio/tv",2299,"more than or = 1000","more than 7 years",4,"male","single","individual",4,"vehicle",39,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",6,"delayed","used car",1352,"more than or = 1000","unemployed",1,"female","unspecified","individual",2,"life insurance",23,"no debt","rented",1,"unskilled non-res",1,"yes","yes","good"
"no checking",11,"dully paid","new car",7228,"between 500 and 999","less than 4 years",1,"male","single","individual",4,"life insurance",39,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",12,"delayed","radio/tv",2073,"less than 100","less than 4 years",4,"female","unspecified","co-aplicant",2,"real estate",28,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",24,"critical","furniture/equipment",2333,"between 100 and 499","less than 1 year",4,"male","single","individual",2,"life insurance",29,"bank debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",27,"critical","used car",5965,"between 500 and 999","more than 7 years",1,"male","single","individual",2,"vehicle",30,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"no checking",12,"delayed","radio/tv",1262,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"vehicle",25,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",18,"delayed","used car",3378,"between 100 and 499","less than 4 years",2,"male","single","individual",1,"life insurance",31,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",36,"critical","new car",2225,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",57,"bank debt","free use",2,"skilled",1,"yes","yes","bad"
"no checking",6,"no credits","new car",783,"between 100 and 499","less than 4 years",1,"male","single","guaranteed",2,"real estate",26,"purchase debt","owned",1,"unskilled res",2,"no","yes","good"
"less than 200",12,"delayed","radio/tv",6468,"between 100 and 499","unemployed",2,"male","single","individual",1,"no collateral",52,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"no checking",36,"dully paid","radio/tv",9566,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"vehicle",31,"purchase debt","owned",2,"skilled",1,"no","yes","good"
"more than or = 200",18,"delayed","new car",1961,"between 500 and 999","more than 7 years",3,"female","unspecified","individual",2,"vehicle",23,"no debt","owned",1,"highly qualified",1,"no","yes","good"
"negative",36,"dully paid","furniture/equipment",6229,"between 500 and 999","less than 1 year",4,"female","unspecified","co-aplicant",4,"no collateral",23,"no debt","rented",2,"unskilled res",1,"yes","yes","bad"
"less than 200",9,"delayed","business",1391,"between 500 and 999","less than 4 years",2,"male","married/widowed","individual",1,"real estate",27,"bank debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",15,"dully paid","radio/tv",1537,"between 100 and 499","more than 7 years",4,"male","single","guaranteed",4,"real estate",50,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",36,"duly paying","business",1953,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",61,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"less than 200",48,"duly paying","business",14421,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",25,"no debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",24,"delayed","radio/tv",3181,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",26,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",27,"delayed","repairs",5190,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"life insurance",48,"no debt","owned",4,"skilled",2,"yes","yes","good"
"no checking",12,"delayed","radio/tv",2171,"between 500 and 999","less than 1 year",2,"female","unspecified","individual",2,"vehicle",29,"bank debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","new car",1007,"no savingss","less than 4 years",4,"male","married/widowed","individual",1,"real estate",22,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",36,"delayed","education",1819,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"no collateral",37,"purchase debt","free use",1,"skilled",1,"yes","yes","bad"
"no checking",36,"delayed","radio/tv",2394,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",4,"vehicle",25,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",36,"delayed","used car",8133,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",2,"life insurance",30,"bank debt","owned",1,"skilled",1,"no","yes","good"
"no checking",7,"dully paid","radio/tv",730,"between 100 and 499","more than 7 years",4,"male","single","individual",2,"life insurance",46,"no debt","rented",2,"unskilled res",1,"yes","yes","good"
"negative",8,"dully paid","other",1164,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"no collateral",51,"bank debt","free use",2,"highly qualified",2,"yes","yes","good"
"less than 200",42,"dully paid","business",5954,"between 500 and 999","less than 7 years",2,"female","unspecified","individual",1,"real estate",41,"bank debt","owned",2,"unskilled res",1,"no","yes","good"
"negative",36,"delayed","education",1977,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",40,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"negative",12,"dully paid","used car",1526,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",66,"no debt","free use",2,"highly qualified",1,"no","yes","good"
"negative",42,"delayed","radio/tv",3965,"between 500 and 999","less than 1 year",4,"male","single","individual",3,"vehicle",34,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",11,"critical","radio/tv",4771,"between 500 and 999","less than 7 years",2,"male","single","individual",4,"life insurance",51,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",54,"duly paying","used car",9436,"between 100 and 499","less than 4 years",2,"male","single","individual",2,"life insurance",39,"no debt","owned",1,"unskilled res",2,"no","yes","good"
"less than 200",30,"delayed","furniture/equipment",3832,"between 500 and 999","less than 1 year",2,"male","married/widowed","individual",1,"life insurance",22,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",24,"delayed","radio/tv",5943,"between 100 and 499","less than 1 year",1,"female","unspecified","individual",1,"vehicle",44,"no debt","owned",2,"skilled",1,"yes","yes","bad"
"no checking",15,"delayed","radio/tv",1213,"more than or = 1000","more than 7 years",4,"male","single","individual",3,"life insurance",47,"purchase debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",18,"delayed","business",1568,"less than 100","less than 4 years",3,"female","unspecified","individual",4,"life insurance",24,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"negative",24,"delayed","other",1755,"between 500 and 999","more than 7 years",4,"female","unspecified","guaranteed",4,"real estate",58,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"negative",10,"delayed","radio/tv",2315,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"real estate",52,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",12,"dully paid","business",1412,"between 500 and 999","less than 4 years",4,"female","unspecified","guaranteed",2,"real estate",29,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"less than 200",18,"dully paid","furniture/equipment",1295,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"life insurance",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",36,"delayed","education",12612,"less than 100","less than 4 years",1,"male","single","individual",4,"no collateral",47,"no debt","free use",1,"skilled",2,"yes","yes","bad"
"negative",18,"delayed","new car",2249,"less than 100","less than 7 years",4,"male","single","individual",3,"vehicle",30,"no debt","owned",1,"highly qualified",2,"yes","yes","good"
"negative",12,"duly paying","repairs",1108,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"real estate",28,"no debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",12,"dully paid","radio/tv",618,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",56,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",12,"dully paid","used car",1409,"between 500 and 999","more than 7 years",4,"male","single","individual",3,"real estate",54,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",12,"dully paid","radio/tv",797,"between 100 and 499","more than 7 years",4,"female","unspecified","individual",3,"life insurance",33,"bank debt","owned",1,"unskilled res",2,"no","yes","bad"
"more than or = 200",24,"dully paid","furniture/equipment",3617,"between 100 and 499","more than 7 years",4,"male","single","co-aplicant",4,"no collateral",20,"no debt","rented",2,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","new car",1318,"no savingss","more than 7 years",4,"male","single","individual",4,"real estate",54,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",54,"duly paying","business",15945,"between 500 and 999","less than 1 year",3,"male","single","individual",4,"no collateral",58,"no debt","rented",1,"skilled",1,"yes","yes","bad"
"no checking",12,"dully paid","education",2012,"between 100 and 499","less than 7 years",4,"female","unspecified","individual",2,"vehicle",61,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",18,"delayed","business",2622,"less than 100","less than 4 years",4,"male","single","individual",4,"vehicle",34,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",36,"dully paid","radio/tv",2337,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",36,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",20,"critical","used car",7057,"between 100 and 499","less than 7 years",3,"male","single","individual",4,"life insurance",36,"bank debt","rented",2,"highly qualified",2,"yes","yes","good"
"no checking",24,"delayed","new car",1469,"less than 100","more than 7 years",4,"male","married/widowed","individual",4,"real estate",41,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"less than 200",36,"delayed","radio/tv",2323,"between 500 and 999","less than 7 years",4,"male","single","individual",4,"vehicle",24,"no debt","rented",1,"skilled",1,"no","yes","good"
"no checking",6,"critical","radio/tv",932,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",2,"real estate",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",9,"dully paid","furniture/equipment",1919,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"vehicle",35,"no debt","rented",1,"skilled",1,"yes","yes","good"
"no checking",12,"delayed","used car",2445,"between 100 and 499","less than 1 year",2,"male","married/widowed","individual",4,"vehicle",26,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",24,"dully paid","other",11938,"between 500 and 999","less than 4 years",2,"male","single","co-aplicant",3,"vehicle",39,"no debt","owned",2,"highly qualified",2,"yes","yes","bad"
"no checking",18,"no credits","new car",6458,"between 500 and 999","more than 7 years",2,"male","single","individual",4,"no collateral",39,"bank debt","owned",2,"highly qualified",2,"yes","yes","bad"
"less than 200",12,"delayed","new car",6078,"between 500 and 999","less than 7 years",2,"male","single","individual",2,"vehicle",32,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",24,"delayed","furniture/equipment",7721,"between 100 and 499","less than 1 year",1,"female","unspecified","individual",2,"life insurance",30,"no debt","owned",1,"skilled",1,"yes","no","good"
"less than 200",14,"delayed","business",1410,"more than or = 1000","more than 7 years",1,"male","married/widowed","individual",2,"real estate",35,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",6,"critical","business",1449,"less than 100","more than 7 years",1,"male","divorced","individual",2,"vehicle",31,"bank debt","owned",2,"skilled",2,"no","yes","good"
"more than or = 200",15,"delayed","education",392,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",23,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",18,"delayed","new car",6260,"between 500 and 999","less than 7 years",3,"male","single","individual",3,"real estate",28,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"no checking",36,"dully paid","new car",7855,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",2,"real estate",25,"purchase debt","owned",2,"skilled",1,"yes","yes","bad"
"negative",12,"delayed","radio/tv",1680,"more than or = 1000","more than 7 years",3,"male","married/widowed","individual",1,"real estate",35,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",48,"dully paid","radio/tv",3578,"between 100 and 499","more than 7 years",4,"male","single","individual",1,"real estate",47,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",42,"delayed","radio/tv",7174,"between 100 and 499","less than 7 years",4,"female","unspecified","individual",3,"vehicle",30,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"negative",10,"dully paid","furniture/equipment",2132,"between 100 and 499","less than 1 year",2,"female","unspecified","co-aplicant",3,"real estate",27,"no debt","rented",2,"skilled",1,"no","no","good"
"negative",33,"dully paid","furniture/equipment",4281,"more than or = 1000","less than 4 years",1,"female","unspecified","individual",4,"vehicle",23,"no debt","owned",2,"skilled",1,"no","yes","bad"
"less than 200",12,"dully paid","new car",2366,"more than or = 1000","less than 7 years",3,"male","divorced","individual",3,"vehicle",36,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",21,"delayed","radio/tv",1835,"between 500 and 999","less than 4 years",3,"female","unspecified","individual",2,"real estate",25,"no debt","owned",2,"skilled",1,"yes","yes","bad"
"no checking",24,"dully paid","used car",3868,"between 500 and 999","more than 7 years",4,"female","unspecified","individual",2,"vehicle",41,"no debt","rented",2,"highly qualified",1,"yes","yes","good"
"no checking",12,"delayed","furniture/equipment",1768,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"real estate",24,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"more than or = 200",10,"dully paid","new car",781,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",63,"no debt","free use",2,"skilled",1,"yes","yes","good"
"less than 200",18,"delayed","furniture/equipment",1924,"between 100 and 499","less than 1 year",4,"female","unspecified","individual",3,"real estate",27,"no debt","rented",1,"skilled",1,"no","yes","bad"
"negative",12,"dully paid","new car",2121,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"life insurance",30,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",12,"delayed","radio/tv",701,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",2,"real estate",40,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",12,"delayed","repairs",639,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",30,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",12,"dully paid","used car",1860,"between 500 and 999","unemployed",4,"male","single","individual",2,"vehicle",34,"no debt","owned",2,"highly qualified",1,"yes","yes","good"
"negative",12,"dully paid","new car",3499,"between 500 and 999","less than 4 years",3,"female","unspecified","co-aplicant",2,"real estate",29,"no debt","owned",2,"skilled",1,"no","yes","bad"
"less than 200",48,"delayed","new car",8487,"between 100 and 499","less than 7 years",1,"female","unspecified","individual",2,"vehicle",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",36,"critical","education",6887,"between 500 and 999","less than 4 years",4,"male","single","individual",3,"life insurance",29,"purchase debt","owned",1,"skilled",1,"yes","yes","bad"
"no checking",15,"delayed","furniture/equipment",2708,"between 500 and 999","less than 1 year",2,"male","single","individual",3,"life insurance",27,"bank debt","owned",2,"unskilled res",1,"no","yes","good"
"no checking",18,"delayed","furniture/equipment",1984,"between 500 and 999","less than 4 years",4,"male","single","individual",4,"no collateral",47,"bank debt","free use",2,"skilled",1,"no","yes","good"
"no checking",60,"delayed","radio/tv",10144,"less than 100","less than 7 years",2,"female","unspecified","individual",4,"real estate",21,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",12,"dully paid","radio/tv",1240,"between 100 and 499","more than 7 years",4,"female","unspecified","individual",2,"real estate",38,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",27,"critical","used car",8613,"no savingss","less than 4 years",2,"male","single","individual",2,"vehicle",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",12,"delayed","radio/tv",766,"more than or = 1000","less than 4 years",4,"male","single","individual",3,"real estate",66,"no debt","owned",1,"unskilled res",1,"no","yes","bad"
"less than 200",15,"dully paid","radio/tv",2728,"between 100 and 499","less than 7 years",4,"male","single","guaranteed",2,"real estate",35,"bank debt","owned",3,"skilled",1,"yes","yes","good"
"more than or = 200",12,"delayed","radio/tv",1881,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",2,"vehicle",44,"no debt","rented",1,"unskilled res",1,"yes","yes","good"
"more than or = 200",6,"delayed","new car",709,"no savingss","less than 1 year",2,"male","married/widowed","individual",2,"real estate",27,"no debt","owned",1,"unskilled non-res",1,"no","no","good"
"less than 200",36,"delayed","radio/tv",4795,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"no collateral",30,"no debt","owned",1,"highly qualified",1,"yes","yes","good"
"negative",27,"delayed","radio/tv",3416,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"vehicle",27,"no debt","owned",1,"highly qualified",1,"no","yes","good"
"negative",18,"delayed","furniture/equipment",2462,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"vehicle",22,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",21,"dully paid","furniture/equipment",2288,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",4,"life insurance",23,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",48,"no credits","business",3566,"less than 100","less than 7 years",4,"male","single","individual",2,"vehicle",30,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",6,"dully paid","new car",860,"between 500 and 999","more than 7 years",1,"female","unspecified","individual",4,"no collateral",39,"no debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",12,"dully paid","new car",682,"less than 100","less than 7 years",4,"female","unspecified","individual",3,"vehicle",51,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",36,"dully paid","furniture/equipment",5371,"between 500 and 999","less than 4 years",3,"male","single","guaranteed",2,"life insurance",28,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",18,"dully paid","radio/tv",1582,"no savingss","more than 7 years",4,"male","single","individual",4,"vehicle",46,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",6,"delayed","radio/tv",1346,"less than 100","more than 7 years",2,"male","single","individual",4,"no collateral",42,"bank debt","free use",1,"skilled",2,"yes","yes","good"
"no checking",10,"delayed","radio/tv",1924,"between 500 and 999","less than 4 years",1,"male","single","individual",4,"life insurance",38,"no debt","owned",1,"skilled",1,"yes","no","good"
"more than or = 200",36,"delayed","radio/tv",5848,"between 500 and 999","less than 4 years",4,"male","single","individual",1,"vehicle",24,"no debt","owned",1,"skilled",1,"no","yes","good"
"less than 200",24,"dully paid","used car",7758,"no savingss","more than 7 years",2,"female","unspecified","individual",4,"no collateral",29,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",24,"critical","business",6967,"less than 100","less than 7 years",4,"male","single","individual",4,"vehicle",36,"no debt","rented",1,"highly qualified",1,"yes","yes","good"
"negative",12,"delayed","furniture/equipment",1282,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",4,"vehicle",20,"no debt","rented",1,"skilled",1,"no","yes","bad"
"negative",9,"dully paid","repairs",1288,"less than 100","more than 7 years",3,"male","single","guaranteed",4,"real estate",48,"no debt","owned",2,"skilled",2,"no","no","good"
"negative",12,"no credits","retraining",339,"between 500 and 999","more than 7 years",4,"male","married/widowed","individual",1,"vehicle",45,"bank debt","owned",1,"unskilled res",1,"no","yes","good"
"less than 200",24,"delayed","new car",3512,"less than 100","less than 7 years",2,"male","single","individual",3,"vehicle",38,"bank debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",6,"dully paid","radio/tv",1898,"between 100 and 499","less than 4 years",1,"male","single","individual",2,"real estate",34,"no debt","owned",2,"unskilled res",2,"no","yes","good"
"no checking",24,"dully paid","radio/tv",2872,"less than 100","more than 7 years",3,"male","single","individual",4,"real estate",36,"no debt","owned",1,"skilled",2,"yes","yes","good"
"no checking",18,"dully paid","new car",1055,"between 500 and 999","less than 1 year",4,"female","unspecified","individual",1,"life insurance",30,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",15,"delayed","domestic appliance",1262,"more than or = 1000","less than 7 years",4,"male","single","individual",3,"life insurance",36,"no debt","owned",2,"skilled",1,"yes","yes","good"
